trade_date,target_slot,generated_at,actual_kst_time,schedule_lag_minutes,base_time,base_time_source,source_time,market_session,market,program_type,sell_value,buy_value,net_buy_value,sell_volume,buy_volume,net_buy_volume,unit_value,unit_volume,source,source_url,collected_at,raw_hash
2026-04-13,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,330322,204185,-126137,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-13,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,6787734,6820743,33009,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-13,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,7118056,7024928,-93128,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-01,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,426773,495923,69150,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-01,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,7139391,7210281,70890,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-01,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,7566164,7706204,140040,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-09,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,581291,538105,-43186,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-09,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,9789794,8397859,-1391935,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-09,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,10371085,8935964,-1435121,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-08,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,378454,894096,515641,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-08,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,9012979,10279866,1266887,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-08,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,9391433,11173962,1782528,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-07,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,435706,285130,-150576,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-07,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,5481674,5799940,318267,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-07,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,5917379,6085070,167691,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-06,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,424310,599179,174869,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-06,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,4593883,4274154,-319728,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-06,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,5018193,4873333,-144860,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-03,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,212529,182022,-30507,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-03,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,4812090,5715449,903360,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-03,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,5024618,5897471,872853,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-02,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,462215,346023,-116192,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-02,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,8401955,8508787,106832,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-02,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,8864170,8854810,-9360,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
